Match Number,Team 1,Team 2,Player Type,Player Name,Team,IsPlaying,lineupOrder,Credits,AverageCredits,CreditWeightage
,,,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0.0,7.0,6.666666666666667,6.8999999999999995
,,,BAT,Abdul Samad,LSG,PLAYING,8.0,6.5,6.5,6.5
,,,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BAT,Abhinav Manohar,SRH,X_FACTOR_SUBSTITUTE,12.0,6.0,6.25,6.074999999999999
,,,ALL,Abhishek Sharma,SRH,PLAYING,1.0,8.5,8.416666666666666,8.475
,,,WK,Abishek Porel,DC,PLAYING,3.0,6.5,6.7,6.56
,,,BOWL,Adam Zampa,SRH,NOT_PLAYING,0.0,7.0,7.416666666666667,7.125
,,,ALL,Aiden Markram,LSG,PLAYING,1.0,8.0,7.928571428571429,7.978571428571428
,,,ALL,Ajay Mandal,DC,NOT_PLAYING,0.0,5.5,5.9,5.619999999999999
,,,BAT,Ajinkya Rahane,KKR,PLAYING,4.0,8.5,7.714285714285714,8.264285714285712
,,,BOWL,Akash Deep,LSG,PLAYING,10.0,7.0,7.0,7.0
,,,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,16.0,7.0,6.75,6.924999999999999
,,,BOWL,Akash Singh,LSG,NOT_PLAYING,0.0,6.0,5.928571428571429,5.978571428571428
,,,All Rounder,Anand-Singh,PNS,PLAYING,3.0,6.5,6.5,6.5
,,,Batsmen,Andre McIntosh McCarthy,PNS,NOT_PLAYING,0.0,8.0,8.0,8.0
,,,ALL,Andre Russell,KKR,PLAYING,6.0,8.0,8.214285714285714,8.064285714285713
,,,BAT,Andre Siddharth,CHE,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,14.0,6.5,6.714285714285714,6.564285714285714
,,,BAT,Aniket Verma,SRH,PLAYING,6.0,5.0,5.833333333333333,5.25
,,,BOWL,Anrich Nortje,KKR,NOT_PLAYING,0.0,7.5,7.357142857142857,7.457142857142857
,,,BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0.0,6.0,6.071428571428571,6.0214285714285705
,,,WK,Anuj Rawat,GT,X_FACTOR_SUBSTITUTE,15.0,6.5,6.5,6.5
,,,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14.0,6.0,6.0,5.999999999999999
,,,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,ALL,Arshad Khan,GT,PLAYING,7.0,5.5,6.083333333333333,5.674999999999999
,,,BOWL,Arshdeep Singh,PBKS,PLAYING,10.0,8.5,8.5,8.5
,,,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,WK,Aryan Juyal,LSG,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,BOWL,Ashok Sharma,RR,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BAT,Ashutosh Sharma,DC,X_FACTOR_SUBSTITUTE,13.0,7.5,7.4,7.470000000000001
,,,BOWL,Ashwani Kumar,MI,X_FACTOR_SUBSTITUTE,13.0,5.5,6.0,5.6499999999999995
,,,BAT,Atharva Taide,SRH,NOT_PLAYING,0.0,6.0,6.25,6.074999999999999
,,,BOWL,Avesh Khan,LSG,PLAYING,11.0,7.5,7.857142857142857,7.607142857142857
,,,ALL,Axar Patel,DC,PLAYING,4.0,8.5,8.6,8.53
,,,All Rounder,Ayan Khan,PNS,PLAYING,5.0,7.0,7.0,7.0
,,,BAT,Ayush Badoni,LSG,X_FACTOR_SUBSTITUTE,12.0,7.0,7.0,7.0
,,,ALL,Azmatullah Omarzai,PBKS,X_FACTOR_SUBSTITUTE,15.0,7.0,7.166666666666667,7.049999999999999
,,,BAT,Bevon Jacobs,MI,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9.0,8.0,8.0,8.0
,,,Wicket Keeper,Brendan Taylor,DG,PLAYING,5.0,7.5,7.5,7.5
,,,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0.0,6.0,5.928571428571429,5.978571428571428
,,,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,15.0,6.0,6.0,5.999999999999999
,,,Batsmen,Danza Hyatt,PNS,NOT_PLAYING,0.0,6.5,6.5,6.5
,,,BOWL,Darshan Nalkande,DC,NOT_PLAYING,0.0,6.5,6.2,6.41
,,,Bowlers,Dave Mohammed,PNS,PLAYING,9.0,7.5,7.5,7.5
,,,BAT,David Miller,LSG,PLAYING,5.0,7.5,7.857142857142857,7.607142857142857
,,,BOWL,Deepak Chahar,MI,PLAYING,8.0,8.0,7.833333333333333,7.949999999999999
,,,BAT,Deepak Hooda,CHE,X_FACTOR_SUBSTITUTE,14.0,6.5,6.714285714285714,6.564285714285714
,,,All Rounder,Deepansh Kumar,DG,NOT_PLAYING,0.0,6.5,6.5,6.5
,,,BAT,Devdutt Padikkal,RCB,X_FACTOR_SUBSTITUTE,12.0,7.0,7.0,7.0
,,,WK,Devon Conway,CHE,PLAYING,2.0,7.5,7.642857142857143,7.542857142857143
,,,WK,Dhruv Jurel,RR,PLAYING,5.0,7.5,7.5,7.5
,,,BOWL,Digvesh Singh,LSG,PLAYING,11.0,5.0,6.214285714285714,5.364285714285714
,,,ALL,Donovan Ferreira,DC,X_FACTOR_SUBSTITUTE,15.0,7.0,6.9,6.969999999999999
,,,BOWL,Dushmantha Chameera,DC,X_FACTOR_SUBSTITUTE,16.0,6.5,6.8,6.59
,,,BOWL,Eshan Malinga,SRH,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BAT,Faf du Plessis,DC,NOT_PLAYING,0.0,8.5,8.5,8.5
,,,BOWL,FazalHaq Farooqi,RR,PLAYING,11.0,7.0,6.833333333333333,6.949999999999999
,,,BOWL,Gerald Coetzee,GT,NOT_PLAYING,0.0,7.0,6.833333333333333,6.949999999999999
,,,ALL,Glenn Maxwell,PBKS,PLAYING,4.0,8.5,8.416666666666666,8.475
,,,BAT,Glenn Phillips,GT,X_FACTOR_SUBSTITUTE,13.0,7.5,7.583333333333333,7.525
,,,BOWL,Gurjapneet Singh,CHE,NOT_PLAYING,0.0,6.0,5.928571428571429,5.978571428571428
,,,BOWL,Gurnoor Brar Singh,GT,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,ALL,Hardik Pandya,MI,PLAYING,4.0,9.0,9.0,9.0
,,,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,15.0,6.5,6.416666666666667,6.475
,,,BOWL,Harshal Patel,SRH,PLAYING,10.0,8.0,7.916666666666667,7.975
,,,BOWL,Harshit Rana,KKR,PLAYING,10.0,8.0,8.071428571428571,8.02142857142857
,,,WK,Heinrich Klaasen,SRH,PLAYING,5.0,9.0,9.0,9.0
,,,All Rounder,Himanshu Bishnoi,PNS,PLAYING,6.0,6.0,6.0,5.999999999999999
,,,BAT,Himmat Singh,LSG,X_FACTOR_SUBSTITUTE,15.0,5.5,5.5,5.5
,,,All Rounder,Iqbal Abdulla,DG,PLAYING,7.0,7.5,7.5,7.5
,,,WK,Ishan Kishan,SRH,PLAYING,2.0,8.5,8.166666666666666,8.399999999999999
,,,BOWL,Ishant Sharma,GT,PLAYING,11.0,7.0,7.083333333333333,7.0249999999999995
,,,Bowlers,Ishwar Pandey,PNS,PLAYING,10.0,8.5,8.5,8.5
,,,All Rounder,Isuru Udana,DG,PLAYING,8.0,8.0,8.0,8.0
,,,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15.0,7.0,6.833333333333333,6.949999999999999
,,,BAT,Jake Fraser-McGurk,DC,PLAYING,2.0,7.5,7.4,7.470000000000001
,,,ALL,Jamie Overton,CHE,X_FACTOR_SUBSTITUTE,15.0,6.5,6.428571428571429,6.478571428571429
,,,BOWL,Jasprit Bumrah,MI,NOT_PLAYING,0.0,9.0,8.833333333333334,8.95
,,,All Rounder,Javon Searles,PNS,PLAYING,7.0,8.0,8.0,8.0
,,,BOWL,Jayant Yadav,GT,NOT_PLAYING,0.0,6.5,6.5,6.5
,,,BOWL,Jaydev Unadkat,SRH,PLAYING,10.0,7.0,7.0,7.0
,,,Batsmen,Jesse Ryder,PNS,PLAYING,2.0,8.5,8.5,8.5
,,,WK,Jitesh Sharma,RCB,PLAYING,6.0,7.5,7.5,7.5
,,,BOWL,Jofra Archer,RR,PLAYING,7.0,8.5,8.166666666666666,8.399999999999999
,,,Bowlers,Jon-Russ Jaggesar,PNS,PLAYING,8.0,9.0,9.0,9.0
,,,WK,Jos Buttler,GT,PLAYING,3.0,9.0,9.0,9.0
,,,BOWL,Josh Hazlewood,RCB,PLAYING,10.0,8.5,8.5,8.5
,,,WK,Josh Inglis,PBKS,NOT_PLAYING,0.0,7.5,7.25,7.425
,,,ALL,K Nitish Reddy,SRH,PLAYING,3.0,8.0,8.0,8.0
,,,WK,KL Shrijith,MI,NOT_PLAYING,0.0,6.0,5.833333333333333,5.949999999999999
,,,BOWL,Kagiso Rabada,GT,NOT_PLAYING,0.0,8.5,8.166666666666666,8.399999999999999
,,,BAT,Kamindu Mendis,SRH,NOT_PLAYING,0.0,7.0,7.0,7.0
,,,BOWL,Kamlesh Nagarkoti,CHE,X_FACTOR_SUBSTITUTE,13.0,6.0,5.928571428571429,5.978571428571428
,,,ALL,Karim Janat,GT,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Karn Sharma,MI,NOT_PLAYING,0.0,6.5,6.333333333333333,6.449999999999999
,,,BAT,Karun Nair,DC,X_FACTOR_SUBSTITUTE,13.0,6.5,6.9,6.619999999999999
,,,Wicket Keeper,Kennar Lewis,PNS,NOT_PLAYING,0.0,9.0,9.0,9.0
,,,Batsmen,Kevin O'brien,DG,PLAYING,2.0,8.0,8.0,8.0
,,,BOWL,Khaleel Ahmed,CHE,PLAYING,11.0,7.5,7.642857142857143,7.542857142857143
,,,Batsmen,Kithuruwan Vithanage,DG,PLAYING,4.0,6.5,6.5,6.5
,,,ALL,Krunal Pandya,RCB,PLAYING,7.0,8.0,7.666666666666667,7.8999999999999995
,,,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0.0,6.0,5.916666666666667,5.975
,,,BOWL,Kuldeep Yadav,DC,PLAYING,10.0,8.5,8.5,8.5
,,,BOWL,Kulwant Khejroliya,GT,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Kumar Kartikeya,RR,X_FACTOR_SUBSTITUTE,15.0,6.0,6.166666666666667,6.049999999999999
,,,WK,Kumar Kushagra,GT,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,WK,Kunal Singh Rathore,RR,X_FACTOR_SUBSTITUTE,16.0,5.0,5.0,5.0
,,,BOWL,Kwena Maphaka,RR,NOT_PLAYING,0.0,5.5,5.833333333333333,5.6
,,,ALL,Liam Livingstone,RCB,PLAYING,4.0,8.0,8.0,8.0
,,,BOWL,Lockie Ferguson,PBKS,PLAYING,11.0,7.5,7.5,7.5
,,,WK,Lokesh Rahul,DC,PLAYING,4.0,9.0,9.0,9.0
,,,Bowlers,Luke Fletcher,DG,PLAYING,9.0,6.5,6.5,6.5
,,,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0.0,7.5,7.333333333333333,7.449999999999999
,,,WK,Luvnith Sisodia,KKR,X_FACTOR_SUBSTITUTE,16.0,5.5,5.5,5.5
,,,WK,MS Dhoni,CHE,PLAYING,7.0,7.0,7.0,7.0
,,,ALL,Madhav Tiwari,DC,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BOWL,Maheesh Theekshana,RR,PLAYING,9.0,7.5,7.5,7.5
,,,BAT,Mahipal Lomror,GT,X_FACTOR_SUBSTITUTE,16.0,6.5,6.5,6.5
,,,ALL,Manav Suthar,GT,NOT_PLAYING,0.0,6.0,5.75,5.924999999999999
,,,BOWL,Manimaran Siddharth,LSG,X_FACTOR_SUBSTITUTE,13.0,6.0,6.0,5.999999999999999
,,,Wicket Keeper,Maninder Singh,DG,NOT_PLAYING,0.0,6.5,6.5,6.5
,,,BAT,Manish Pandey,KKR,X_FACTOR_SUBSTITUTE,12.0,6.5,6.785714285714286,6.585714285714285
,,,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14.0,6.5,6.25,6.425
,,,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,ALL,Marco Jansen,PBKS,PLAYING,8.0,8.0,7.916666666666667,7.975
,,,ALL,Marcus Stoinis,PBKS,PLAYING,5.0,8.0,7.75,7.924999999999999
,,,BOWL,Matheesha Pathirana,CHE,PLAYING,11.0,8.5,8.428571428571429,8.478571428571428
,,,BAT,Matthew Breetzke,LSG,NOT_PLAYING,0.0,6.5,6.285714285714286,6.435714285714285
,,,BOWL,Mayank Markande,KKR,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Mayank Yadav,LSG,NOT_PLAYING,0.0,6.5,6.857142857142857,6.607142857142857
,,,BAT,Mitchell Marsh,LSG,X_FACTOR_SUBSTITUTE,14.0,8.0,8.357142857142858,8.107142857142858
,,,ALL,Mitchell Santner,MI,PLAYING,8.0,7.5,7.416666666666667,7.475
,,,BOWL,Mitchell Starc,DC,PLAYING,8.0,9.0,8.8,8.94
,,,ALL,Moeen Ali,KKR,NOT_PLAYING,0.0,7.5,7.071428571428571,7.371428571428572
,,,BOWL,Mohammed Shami,SRH,PLAYING,11.0,8.5,8.5,8.5
,,,BOWL,Mohammed Siraj,GT,PLAYING,11.0,8.5,8.083333333333334,8.375
,,,ALL,Mohit Rathee,RCB,NOT_PLAYING,0.0,5.5,5.75,5.574999999999999
,,,BOWL,Mohit Sharma,DC,PLAYING,10.0,7.0,7.4,7.119999999999999
,,,Bowlers,Mohmad Ajrudeen,PNS,NOT_PLAYING,0.0,7.0,7.0,7.0
,,,BOWL,Mohsin Khan,LSG,NOT_PLAYING,0.0,7.0,7.0,7.0
,,,BOWL,Mujeeb-ur-Rahman,MI,NOT_PLAYING,0.0,7.0,6.916666666666667,6.975
,,,BOWL,Mukesh Choudhary,CHE,X_FACTOR_SUBSTITUTE,13.0,6.5,6.5,6.5
,,,BOWL,Mukesh Kumar,DC,PLAYING,11.0,7.0,7.1,7.029999999999999
,,,ALL,Musheer Khan,PBKS,NOT_PLAYING,0.0,6.0,5.916666666666667,5.975
,,,ALL,Naman Dhir,MI,PLAYING,5.0,6.5,6.666666666666667,6.55
,,,Batsmen,Narsingh Deonarine,PNS,PLAYING,4.0,9.0,9.0,9.0
,,,BOWL,Nathan Ellis,CHE,NOT_PLAYING,0.0,7.0,7.0,7.0
,,,BAT,Nehal Wadhera,PBKS,X_FACTOR_SUBSTITUTE,14.0,7.5,7.5,7.5
,,,WK,Nicholas Pooran,LSG,PLAYING,2.0,8.5,8.857142857142858,8.607142857142856
,,,Bowlers,Nicholson Gordon,PNS,PLAYING,11.0,7.0,7.0,7.0
,,,ALL,Nishant Sindhu,GT,X_FACTOR_SUBSTITUTE,14.0,5.5,5.75,5.574999999999999
,,,ALL,Nitish Rana,RR,PLAYING,3.0,7.5,7.5,7.5
,,,BOWL,Noor Ahmad,CHE,PLAYING,8.0,8.5,8.214285714285714,8.414285714285713
,,,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0.0,7.5,7.25,7.425
,,,BOWL,Pat Cummins,SRH,PLAYING,7.0,8.0,8.25,8.075
,,,WK,Philip Salt,RCB,PLAYING,2.0,8.5,8.5,8.5
,,,WK,Prabhsimran Singh,PBKS,PLAYING,2.0,7.5,7.5,7.5
,,,BOWL,Prasidh Krishna,GT,PLAYING,10.0,7.5,7.5,7.5
,,,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,16.0,5.5,5.916666666666667,5.625
,,,BOWL,Prince Yadav,LSG,X_FACTOR_SUBSTITUTE,13.0,6.0,5.857142857142857,5.957142857142856
,,,BAT,Priyansh Arya,PBKS,PLAYING,1.0,8.0,6.833333333333333,7.6499999999999995
,,,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0.0,5.0,5.25,5.075
,,,WK,Quinton de Kock,KKR,PLAYING,1.0,8.0,8.142857142857142,8.042857142857143
,,,BAT,Rachin Ravindra,CHE,PLAYING,1.0,8.0,8.0,8.0
,,,WK,Rahmanullah Gurbaz,KKR,NOT_PLAYING,0.0,7.0,7.214285714285714,7.064285714285713
,,,BOWL,Rahul Chahar,SRH,NOT_PLAYING,0.0,6.5,6.416666666666667,6.475
,,,Wicket Keeper,Rahul Mahesh Yadav,DG,PLAYING,3.0,6.0,6.0,5.999999999999999
,,,ALL,Rahul Tewatia,GT,PLAYING,4.0,7.0,7.0,7.0
,,,BAT,Rahul Tripathi,CHE,PLAYING,2.0,7.5,7.285714285714286,7.435714285714285
,,,BAT,Raj Angad Bawa,MI,PLAYING,6.0,5.5,5.5,5.5
,,,BAT,Rajat Patidar,RCB,PLAYING,3.0,8.0,8.166666666666666,8.049999999999999
,,,BOWL,Rajvardhan Hangargekar,LSG,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,ALL,Ramakrishna Ghosh,CHE,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,ALL,Ramandeep Singh,KKR,PLAYING,7.0,7.5,7.0,7.35
,,,BOWL,Rashid-Khan,GT,PLAYING,7.0,9.0,8.666666666666666,8.899999999999999
,,,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13.0,6.5,6.5,6.5
,,,Bowlers,Ravi Balara,DG,NOT_PLAYING,0.0,7.0,7.0,7.0
,,,BOWL,Ravi Bishnoi,LSG,PLAYING,11.0,7.5,7.785714285714286,7.585714285714285
,,,ALL,Ravichandran Ashwin,CHE,PLAYING,7.0,7.5,7.642857142857143,7.542857142857143
,,,ALL,Ravindra Jadeja,CHE,PLAYING,6.0,8.5,8.357142857142858,8.457142857142856
,,,BOWL,Ravisrinivasan Sai Kishore,GT,PLAYING,8.0,7.5,7.5,7.5
,,,BOWL,Reece Topley,MI,NOT_PLAYING,0.0,6.0,6.416666666666667,6.124999999999999
,,,Batsmen,Richard Levi,DG,PLAYING,1.0,7.5,7.5,7.5
,,,BAT,Rinku Singh,KKR,PLAYING,5.0,7.5,7.5,7.5
,,,WK,Rishabh Pant,LSG,PLAYING,3.0,8.0,8.357142857142858,8.107142857142858
,,,ALL,Riyan Parag,RR,PLAYING,4.0,8.0,8.0,8.0
,,,All Rounder,Robert Frylinck,PNS,NOT_PLAYING,0.0,9.0,9.0,9.0
,,,WK,Robin Minz,MI,X_FACTOR_SUBSTITUTE,14.0,6.0,5.916666666666667,5.975
,,,BAT,Rohit Sharma,MI,PLAYING,1.0,8.0,8.666666666666666,8.2
,,,ALL,Romario Shepherd,RCB,NOT_PLAYING,0.0,6.5,6.75,6.574999999999999
,,,BAT,Rovman Powell,KKR,NOT_PLAYING,0.0,7.0,6.785714285714286,6.935714285714285
,,,BAT,Ruturaj Gaikwad,CHE,PLAYING,3.0,9.0,9.0,9.0
,,,WK,Ryan Rickelton,MI,PLAYING,2.0,7.5,7.5,7.5
,,,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,13.0,5.5,6.0,5.6499999999999995
,,,BAT,Sai Sudharsan,GT,PLAYING,2.0,8.5,8.416666666666666,8.475
,,,ALL,Sam Curran,CHE,NOT_PLAYING,0.0,7.0,7.142857142857143,7.042857142857143
,,,BAT,Sameer Rizvi,DC,X_FACTOR_SUBSTITUTE,15.0,6.5,6.5,6.5
,,,BOWL,Sandeep Sharma,RR,PLAYING,11.0,7.5,7.5,7.5
,,,WK,Sanju Samson,RR,PLAYING,2.0,9.0,9.0,9.0
,,,BOWL,Satyanarayana Raju,MI,NOT_PLAYING,0.0,6.0,5.916666666666667,5.975
,,,All Rounder,Seekkuge Prasanna,DG,PLAYING,6.0,7.0,7.0,7.0
,,,ALL,Shahbaz Ahmed,LSG,X_FACTOR_SUBSTITUTE,14.0,6.5,6.857142857142857,6.607142857142857
,,,ALL,Shahrukh Khan,GT,PLAYING,5.0,7.5,7.416666666666667,7.475
,,,BAT,Shaik Rasheed,CHE,PLAYING,1.0,5.0,5.0,5.0
,,,BOWL,Shamar Joseph,LSG,X_FACTOR_SUBSTITUTE,16.0,6.0,6.214285714285714,6.064285714285713
,,,BOWL,Shardul Thakur,LSG,PLAYING,8.0,7.5,7.5,7.5
,,,BAT,Shashank Singh,PBKS,PLAYING,4.0,7.5,7.416666666666667,7.475
,,,BAT,Sherfane Rutherford,GT,X_FACTOR_SUBSTITUTE,12.0,7.5,7.666666666666667,7.55
,,,BAT,Shimron Hetmyer,RR,PLAYING,6.0,8.0,7.666666666666667,7.8999999999999995
,,,Batsmen,Shivakant Shukla,PNS,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BAT,Shivam Dube,CHE,X_FACTOR_SUBSTITUTE,12.0,8.0,7.928571428571429,7.978571428571428
,,,BOWL,Shreyas Gopal,CHE,NOT_PLAYING,0.0,6.0,6.428571428571429,6.128571428571428
,,,BAT,Shreyas Iyer,PBKS,PLAYING,3.0,9.0,8.833333333333334,8.95
,,,BAT,Shubham Dubey,RR,X_FACTOR_SUBSTITUTE,13.0,5.5,5.833333333333333,5.6
,,,BAT,Shubman Gill,GT,PLAYING,1.0,9.0,9.0,9.0
,,,Bowlers,Siddharth Trivedi,DG,PLAYING,10.0,6.5,6.5,6.5
,,,BOWL,Simarjeet- Singh,SRH,PLAYING,8.0,6.5,6.333333333333333,6.449999999999999
,,,BOWL,Spencer Johnson,KKR,PLAYING,8.0,6.5,6.5,6.5
,,,ALL,Sunil Narine,KKR,PLAYING,1.0,9.0,9.0,9.0
,,,BAT,Suryakumar Yadav,MI,PLAYING,4.0,9.0,9.0,9.0
,,,ALL,Suryansh Shedge,PBKS,PLAYING,7.0,5.5,5.5,5.5
,,,BOWL,Suyash Sharma,RCB,PLAYING,9.0,6.0,6.083333333333333,6.024999999999999
,,,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16.0,6.5,6.833333333333333,6.6
,,,BAT,Swastik Chikara,RCB,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,BOWL,T Natarajan,DC,NOT_PLAYING,0.0,6.5,6.8,6.59
,,,BAT,Tilak Varma,MI,PLAYING,4.0,8.0,8.083333333333334,8.025
,,,BAT,Tim David,RCB,PLAYING,7.0,7.5,7.5,7.5
,,,BAT,Travis Head,SRH,X_FACTOR_SUBSTITUTE,14.0,9.0,9.0,9.0
,,,BOWL,Trent Boult,MI,PLAYING,8.0,8.5,8.333333333333334,8.45
,,,BOWL,Tripurana Vijay,DC,X_FACTOR_SUBSTITUTE,15.0,5.5,5.5,5.5
,,,BAT,Tristan Stubbs,DC,PLAYING,6.0,8.0,8.0,8.0
,,,BOWL,Tushar Deshpande,RR,PLAYING,10.0,7.5,7.333333333333333,7.449999999999999
,,,All Rounder,Udit Mohan,DG,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Umran Malik,KKR,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Vaibhav Arora,KKR,PLAYING,9.0,6.5,6.714285714285714,6.564285714285714
,,,BAT,Vaibhav Suryavanshi,RR,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,WK,Vansh Bedi,CHE,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BOWL,Varun Chakravarthy,KKR,PLAYING,11.0,9.0,9.0,9.0
,,,BAT,Venkatesh Iyer,KKR,PLAYING,2.0,8.0,7.928571428571429,7.978571428571428
,,,BOWL,Vignesh Puthur,MI,PLAYING,11.0,7.0,6.5,6.85
,,,BAT,Vijay Shankar,CHE,PLAYING,5.0,7.0,6.571428571428571,6.871428571428571
,,,Bowlers,Vikas Tokas,DG,PLAYING,11.0,6.5,6.5,6.5
,,,BOWL,Vipraj Nigam,DC,PLAYING,7.0,5.0,6.1,5.33
,,,BAT,Virat Kohli,RCB,PLAYING,1.0,9.0,9.0,9.0
,,,WK,Vishnu Vinod,PBKS,X_FACTOR_SUBSTITUTE,16.0,6.5,6.5,6.5
,,,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,16.0,7.0,6.916666666666667,6.975
,,,ALL,Wanindu Hasaranga,RR,PLAYING,7.0,8.5,8.083333333333334,8.375
,,,ALL,Washington Sundar,GT,X_FACTOR_SUBSTITUTE,12.0,7.0,7.083333333333333,7.0249999999999995
,,,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16.0,7.0,7.0,7.0
,,,ALL,Will Jacks,MI,PLAYING,2.0,7.5,7.25,7.425
,,,Wicket Keeper,William Perkins,PNS,PLAYING,1.0,7.5,7.5,7.5
,,,BOWL,Xavier Bartlett,PBKS,NOT_PLAYING,0.0,6.5,6.416666666666667,6.475
,,,BOWL,Yash Dayal,RCB,PLAYING,11.0,7.5,7.166666666666667,7.4
,,,BOWL,Yash Thakur,PBKS,X_FACTOR_SUBSTITUTE,13.0,6.5,6.5,6.5
,,,BAT,Yashasvi Jaiswal,RR,PLAYING,1.0,9.0,8.666666666666666,8.899999999999999
,,,ALL,Yudhvir Singh Charak,RR,X_FACTOR_SUBSTITUTE,13.0,6.5,6.5,6.5
,,,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BOWL,Yuzvendra Chahal,PBKS,PLAYING,11.0,8.0,8.083333333333334,8.025
,,,BOWL,Zeeshan Ansari,SRH,PLAYING,9.0,5.5,5.833333333333333,5.6
70.0,LSG,SRH,,,,,,,,
